g_x: 232, g_y: 2057, g_z: 485, roll: -6.51614390216, pitch: 12.9736309935, yaw: -21.7504915251, addr: dcb9, time[s]: 1802.48, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 465, g_y: 2224, g_z: -173, roll: -11.8339208692, pitch: -4.39714387963, yaw: -36.9186477848, addr: dcb2, time[s]: 1799.26, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 4, g_y: 2135, g_z: -95, roll: 0.400614793968, pitch: -2.12799282035, yaw: 72.0677848009, addr: fc43, time[s]: 1802.77, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 54, g_y: 2083, g_z: 293, roll: -1.45044872686, pitch: 7.78149535629, yaw: -0.147408595718, addr: db0e, time[s]: 1802.74, roll_offset: -1.44623012455, pitch_offset: 7.77925590802
g_x: 234, g_y: 2063, g_z: 461, roll: -6.51944032221, pitch: 12.9738973709, yaw: -21.7518285346, addr: dcb9, time[s]: 1802.94, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 239, g_y: 2066, g_z: 476, roll: -6.52050497795, pitch: 12.9695320262, yaw: -21.7619474599, addr: dcb9, time[s]: 1803.86, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 239, g_y: 2058, g_z: 486, roll: -6.52336896165, pitch: 12.9633438748, yaw: -21.7607982806, addr: dcb9, time[s]: 1804.35, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 103, g_y: 2059, g_z: 415, roll: -2.84353410998, pitch: 11.5499173346, yaw: 3.48891462923, addr: db2f, time[s]: 1804.09, roll_offset: -2.8563010142, pitch_offset: 11.5558519152
g_x: -5, g_y: 2135, g_z: -100, roll: 0.387687326942, pitch: -2.15259729618, yaw: 72.0667192914, addr: fc43, time[s]: 1803.4, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 230, g_y: 2065, g_z: 476, roll: -6.52260568801, pitch: 12.964376941, yaw: -21.7553768179, addr: dcb9, time[s]: 1806.39, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 70, g_y: 2073, g_z: 238, roll: -1.7370398359, pitch: 6.79337871925, yaw: -44.589790336, addr: db37, time[s]: 1801.33, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 814, g_y: 10624, g_z: 3325, roll: -3.61400250024, pitch: 1.25830419301, yaw: -0.0325435068526, addr: dcc2, time[s]: 1801.33, roll_offset: -3.61400250024, pitch_offset: 1.25830419301
g_x: 64, g_y: 2064, g_z: 249, roll: -1.75762922771, pitch: 6.76621292249, yaw: -44.6040756766, addr: db37, time[s]: 1789.14, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 56, g_y: 2100, g_z: 284, roll: -1.43908809456, pitch: 7.78822138508, yaw: -0.165938965638, addr: db0e, time[s]: 1807.31, roll_offset: -1.44623012455, pitch_offset: 7.77925590802
g_x: 84, g_y: 2172, g_z: -101, roll: -2.28946297465, pitch: -2.90518809318, yaw: 62.8159930418, addr: dca4, time[s]: 1806.86, roll_offset: -2.3157171546, pitch_offset: -2.90914938945
g_x: 68, g_y: 2070, g_z: 249, roll: -1.71428634134, pitch: 6.79999418435, yaw: -44.5516778804, addr: db37, time[s]: 1807.31, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 64, g_y: 2074, g_z: 244, roll: -1.71157411591, pitch: 6.79925524326, yaw: -44.5494478236, addr: db37, time[s]: 1807.77, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 242, g_y: 2058, g_z: 462, roll: -6.53198225708, pitch: 12.9514405627, yaw: -21.7601801484, addr: dcb9, time[s]: 1808.46, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 238, g_y: 2063, g_z: 473, roll: -6.5284565988, pitch: 12.9612598134, yaw: -21.7529230724, addr: dcb9, time[s]: 1807.36, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 49, g_y: 2089, g_z: 287, roll: -1.45629611584, pitch: 7.79003992294, yaw: -0.151848111957, addr: db0e, time[s]: 1804.78, roll_offset: -1.44623012455, pitch_offset: 7.77925590802
g_x: 49, g_y: 2089, g_z: 287, roll: -1.45629611584, pitch: 7.79003992294, yaw: -0.151848111957, addr: db0e, time[s]: 1804.78, roll_offset: -1.44623012455, pitch_offset: 7.77925590802
g_x: 91, g_y: 2182, g_z: -120, roll: -2.29681055065, pitch: -2.89532252525, yaw: 62.8103034942, addr: dca4, time[s]: 1808.0, roll_offset: -2.3157171546, pitch_offset: -2.90914938945
g_x: 63, g_y: 2060, g_z: 246, roll: -1.72200562904, pitch: 6.80306093929, yaw: -44.5222500104, addr: db37, time[s]: 1808.73, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: -16, g_y: 2129, g_z: -92, roll: 0.322990361062, pitch: -2.36372548706, yaw: 72.0758717449, addr: fc43, time[s]: 1809.38, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: -7, g_y: 2136, g_z: -98, roll: 0.426586721689, pitch: -1.9811924183, yaw: 72.0540356301, addr: fc43, time[s]: 1799.75, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: -5, g_y: 2136, g_z: -102, roll: 0.319976993657, pitch: -2.3798122901, yaw: 72.0862331419, addr: fc43, time[s]: 1810.32, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 54, g_y: 2094, g_z: 284, roll: -1.42392710231, pitch: 7.793932277, yaw: -0.144302727276, addr: db0e, time[s]: 1809.38, roll_offset: -1.44623012455, pitch_offset: 7.77925590802
g_x: 54, g_y: 2094, g_z: 284, roll: -1.42392710231, pitch: 7.793932277, yaw: -0.144302727276, addr: db0e, time[s]: 1809.38, roll_offset: -1.44623012455, pitch_offset: 7.77925590802
g_x: 234, g_y: 2053, g_z: 481, roll: -6.52713879918, pitch: 12.9338144057, yaw: -21.7575727237, addr: dcb9, time[s]: 1811.45, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 234, g_y: 2050, g_z: 483, roll: -6.53686200035, pitch: 12.945008232, yaw: -21.7607231485, addr: dcb9, time[s]: 1809.88, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: -4, g_y: 2139, g_z: -91, roll: 0.311050123175, pitch: -2.40993769321, yaw: 72.0924622744, addr: fc43, time[s]: 1811.91, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 233, g_y: 2050, g_z: 464, roll: -6.53309216282, pitch: 12.9316842405, yaw: -21.7571116859, addr: dcb9, time[s]: 1811.91, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 236, g_y: 2056, g_z: 474, roll: -6.53872749577, pitch: 12.9304078489, yaw: -21.7620328372, addr: dcb9, time[s]: 1812.39, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 235, g_y: 2057, g_z: 486, roll: -6.53623020785, pitch: 12.9323792122, yaw: -21.7641279978, addr: dcb9, time[s]: 1812.9, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
