g_x: 329, g_y: 2124, g_z: 54, roll: -8.57159968665, pitch: 1.51022152656, yaw: -24.0536483887, addr: fc43, time[s]: 624.01, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 349, g_y: 2050, g_z: -317, roll: -9.84479561304, pitch: -8.42243262404, yaw: 60.9786243437, addr: dcb9, time[s]: 624.21, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 411, g_y: 2226, g_z: -124, roll: -9.90177219732, pitch: 0.107824848033, yaw: 48.3639991921, addr: dcb2, time[s]: 624.42, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: 2, g_y: 2106, g_z: -118, roll: -0.363998443312, pitch: -3.24942108961, yaw: -13.8794088463, addr: dcd5, time[s]: 624.65, roll_offset: -0.238017124856, pitch_offset: -3.26857571481
g_x: -169, g_y: -7073, g_z: -1669, roll: 6.95927675712, pitch: 0.0202002144342, yaw: 0.0153161189145, addr: db0e, time[s]: 626.08, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: 1626, g_y: 594, g_z: 1145, roll: -56.4042861471, pitch: 46.971275809, yaw: 71.6002925032, addr: dca4, time[s]: 626.95, roll_offset: 39.2526463676, pitch_offset: -0.376811424628
g_x: 81, g_y: 23841, g_z: -2, roll: 3.02055169581, pitch: 0.174864155253, yaw: 0.00461025971225, addr: db4a, time[s]: 627.18, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -24, g_y: -29797, g_z: -190, roll: 2.94668021173, pitch: -0.0141644949926, yaw: 0.00663237048319, addr: dccb, time[s]: 628.14, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 417, g_y: 2046, g_z: 291, roll: -11.4326984818, pitch: 8.12409935261, yaw: 87.9696809624, addr: db2f, time[s]: 628.18, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 323, g_y: 2130, g_z: 58, roll: -8.59006937194, pitch: 1.51791178595, yaw: -24.0327121513, addr: fc43, time[s]: 629.05, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 364, g_y: 2050, g_z: -319, roll: -9.84686259903, pitch: -8.49150461957, yaw: 61.0130484972, addr: dcb9, time[s]: 629.25, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 417, g_y: 2223, g_z: -121, roll: -10.3570230885, pitch: -0.785902376634, yaw: 48.3905208166, addr: dcb2, time[s]: 629.48, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: 14, g_y: 2117, g_z: -127, roll: -0.340737913929, pitch: -3.20100806844, yaw: -13.7823860092, addr: dcd5, time[s]: 629.71, roll_offset: -0.238017124856, pitch_offset: -3.26857571481
g_x: -100, g_y: -29261, g_z: -1593, roll: 6.84353834786, pitch: -0.096951447009, yaw: -0.0269170768254, addr: db0e, time[s]: 631.11, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: 78, g_y: 12919, g_z: 465, roll: 3.01419535101, pitch: 0.175048917206, yaw: -0.00239381100793, addr: db4a, time[s]: 632.24, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -26, g_y: 5597, g_z: -186, roll: 2.95694022308, pitch: 0.11205649707, yaw: -0.00410473024777, addr: dccb, time[s]: 633.17, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 431, g_y: 2042, g_z: 309, roll: -11.4594864838, pitch: 8.11841322012, yaw: 87.9548526217, addr: db2f, time[s]: 633.21, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 314, g_y: 2123, g_z: 50, roll: -8.54661656221, pitch: 1.50403348189, yaw: -24.0058404796, addr: fc43, time[s]: 634.08, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 362, g_y: 2053, g_z: -318, roll: -9.88625315375, pitch: -8.50543308284, yaw: 61.0298985738, addr: dcb9, time[s]: 634.31, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 417, g_y: 2208, g_z: -103, roll: -10.4861700129, pitch: -1.61408266374, yaw: 48.4339642348, addr: dcb2, time[s]: 634.43, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: 10, g_y: 2118, g_z: -121, roll: -0.333856898546, pitch: -3.18613020888, yaw: -13.6602280759, addr: dcd5, time[s]: 634.77, roll_offset: -0.238017124856, pitch_offset: -3.26857571481
